,action_onnut,action_virtual,reward_onnut,reward_virtual,travel_time_onnut,travel_time_virtual,teleport_number
384,1,1,71,9,2440.180805852171,2470.400500273779,0
385,1,1,80,19,2417.93809878941,1404.528085705161,0
386,1,3,83,15,2483.917962960634,866.504735436085,0
387,2,1,64,13,24.893416091951902,936.6481149281607,0
388,2,1,78,15,15.326294492255451,13.157788347707637,0
389,2,1,105,19,115.97602736950952,3.1358482771486793,0
390,2,1,103,25,372.160571972836,12.17901841703482,0
391,2,1,67,15,11.454470896083336,1.0512501736225084,0
392,1,1,64,17,437.95795019854717,7.930722891749298,0
393,1,1,94,38,385.28137401930763,17.545247743939093,0
394,1,3,85,19,391.9519093403093,1753.2049539620762,0
395,2,1,108,10,417.4397662758952,56.42371431087029,0
396,2,1,104,14,36.867228226001274,23.493001396020496,0
397,2,1,116,23,672.591714096592,3.7671977073212317,0
398,2,1,93,30,682.2611664714689,30.09385876217014,0
399,1,3,77,17,212.1854229411117,1.5698381280335552,0
400,1,1,69,13,59.07558057864476,51.670264851614974,0
401,1,1,85,17,254.4369713012599,38.72129194574858,0
402,2,1,110,14,327.8826059846052,40.44268990439098,0
403,2,1,121,12,462.2644121885501,56.77280652030055,0
404,2,1,89,16,926.8210241822794,1.0059899146077849,0
405,2,1,76,21,936.5267016567656,6.224894985191554,0
406,2,1,73,26,863.0837335618714,26.54494470166762,1
407,1,3,80,10,520.5370034750438,17.186223274916735,0
408,1,1,83,13,17.80232216063215,10.067853403414933,0
409,1,1,87,19,15.459311081072242,126.39336761354254,0
410,2,1,91,16,190.245153027927,33.63062997597877,0
411,2,1,85,13,25.938985475621507,71.38688158422866,0
412,2,1,89,17,22.294115307684546,11.436774321481984,0
413,2,1,105,20,11.17337684275442,14.409586250709008,0
414,1,1,89,20,10.876943761843922,93.59629685144122,0
415,1,3,90,14,173.0161031455429,149.16887597786408,0
416,1,1,78,11,46.87996801782592,964.0450012234137,0
417,2,1,90,13,39.46853721566804,106.77319815311667,0
418,2,1,110,15,674.4933297344543,16.479945043319468,0
419,2,1,106,16,1158.5517402123708,0.9009339089803801,0
420,1,1,51,15,192.95374888066246,1.1036320595058922,0
421,1,1,86,20,1072.8670901539103,6.220373058282189,0
422,1,3,81,31,2358.7689892167396,1592.539550575944,0
423,2,1,78,15,863.9069048961599,34.321605804274604,0
424,2,1,79,16,2273.7821481352976,13.661759298952099,0
425,2,1,74,28,2575.010450883573,1.6473506289985023,0
426,2,1,71,20,2488.9830831144986,20.31327843167288,0
427,1,1,77,12,2203.2433584219584,59.68925527771929,0
428,1,1,85,15,1850.9436089451883,80.62691247529443,0
429,1,3,94,21,1821.3372600676414,41.50032854938606,0
430,2,1,83,18,136.90847025323276,69.98005097094979,0
431,2,1,91,13,70.35633481050444,77.58821419411542,0
432,2,1,68,13,596.1408239052737,3.241797771516671,0
433,2,1,92,28,140.83242882100285,5.481698181870005,0
434,2,1,54,14,864.6243392648527,25.572625560300043,0
435,2,1,25,11,451.263027317624,28.408102720057492,0
436,1,1,62,11,335.23006012949753,11.233601767118756,0
437,1,3,74,13,430.25305324673207,28.589138415423868,0
438,1,1,95,14,1021.1798663379494,343.26908834243164,0
439,2,1,106,11,137.51084687050158,818.1777130122073,0
440,2,1,107,14,294.8526374307895,32.45622499693347,0
441,2,1,112,23,303.22869526758245,14.6851744726183,0
442,1,1,63,19,108.24955186471611,11.112894070188784,1
443,1,1,61,10,172.80229012238757,53.26471266354676,0
444,1,1,57,13,5.720068452569143,2.314275089876741,0
445,2,1,88,18,6.912281111861248,124.5166229709081,0
446,2,1,118,18,60.56165730707452,20.788960491539132,0
447,2,1,55,10,85.34953003560072,33.43253007032287,0
448,1,3,91,14,14.937376415931928,39.167004232295035,0
449,1,1,99,10,280.93879869369067,17.164205455467147,0
450,1,1,91,15,278.4235236750518,33.29749596927719,0
451,2,1,107,12,107.94166510212162,0.7966696499985751,0
452,2,1,127,14,314.8146810519949,0.727956714137674,0
453,2,1,107,21,438.4690336600027,12.330032737817058,0
454,1,1,77,22,1090.33166125243,31.134920003444957,0
455,1,1,87,9,1118.431537797077,68.98175278617104,0
456,1,3,87,14,583.8418836638893,871.0476060576563,0
457,2,1,115,17,852.8750401243641,93.9609959471444,0
458,2,1,120,18,2228.8463793311403,25.729865763997495,0
459,2,1,91,13,2320.177335434512,11.404573901896445,0
460,1,1,99,18,2006.3487882042277,37.76272466962174,0
461,1,1,96,12,1377.154635928187,14.551286324986817,0
462,1,1,85,21,1515.2946797180682,513.303016718666,0
463,2,1,89,13,1910.592066500853,803.4978833005829,0
464,2,1,90,7,1228.817852369138,97.6723350388661,0
465,2,1,91,11,1445.4011583867468,103.59438983955879,0
466,2,1,72,10,1572.4465584189377,191.00346374834334,0
467,2,1,59,13,2215.2922316263584,141.85500245187734,0
468,1,3,49,20,1987.3915232787053,6.280397608738574,0
469,1,1,91,19,1174.8242229815821,1794.031728968628,0
470,1,1,108,24,1178.931399043856,774.8695291911629,0
471,2,1,107,8,1235.4258509420986,52.228340700634924,0
472,2,1,94,18,333.666345783857,18.792499118614625,0
473,2,1,109,18,436.8216860730654,1.1579391852279441,0
474,2,1,96,25,468.09701661659903,20.713099270826667,0
475,2,1,66,13,1455.6819248183365,57.24976020631338,0
476,1,3,60,16,1398.667591545358,4.211491626994532,0
477,1,1,108,16,1071.0127716496168,4.924185778311643,0
478,1,1,106,18,950.932365727042,34.78211620240027,0
479,2,1,102,10,1314.3585825725681,27.45091176040981,0
480,2,1,110,13,1259.691609211134,2.3068702522556905,0
